
変数情報			
変数	位置	ラベル	欠損値
PanelID	1	<なし>	
BLOCK	2	対象者居住地・地域	
SIZE	3	対象者居住地・都市規模	
sex	4	問1(1)_性別	
ybirth	5	問1(2)_生年	
mbirth	6	問1(2)_生月	
ZQ02A	7	問2A_起床時間	
zq02ay48	8	問2A_起床時間―時	88, 99
zq02az48	9	問2A_起床時間―分	88, 99
ZQ02B	10	問2B_家を出る時間	
zq02by48	11	問2B_家を出る時間―時	88, 99
zq02bz48	12	問2B_家を出る時間―分	88, 99
ZQ02C	13	問2C_家に帰ってくる時間	
zq02cy48	14	問2C_家に帰ってくる時間―時	88, 99
zq02cz48	15	問2C_家に帰ってくる時間―分	88, 99
ZQ02D	16	問2D_就寝する時間	
zq02dy48	17	問2D_就寝する時間―時	88, 99
zq02dz48	18	問2D_就寝する時間―分	88, 99
ZQ03	19	問3_就業状況	
ZQ03_1	20	問3(1)_通学か家事か	
ZQ03_2	21	問3(2)_収入になる仕事をしたいか	
ZQ03_3	22	問3(3)_今までに仕事に就いたことがあるか	
JC_1	23	問4A(1)_現職・働き方	
JC_2	24	問4A(2)_現職・職業―大分類(プリコード)	
JC_2L	25	問4A(2)_現職・職業―大分類（アフターコード）	
JC_2C	26	問4A(2)_現職・職業―小分類(新規コードあり)	
JC_2R	27	問4A(2)_現職・職業―小分類(SSM職業分類(95年版)準拠)	
JC_3	28	問4A(3)_現職・役職	
JC_41	29	問4A(4-1)_現職・従事時間（1日あたり）	
JC_4W	30	問4A(4-2)_現職・従事日数（週あたり）	
JC_4M	31	問4A(4-2)_現職・従事日数（月あたり）	
JC_5C	32	問4A(5)_現職・産業（SSM産業コード）	
JC_6	33	問4A(6)_現職・企業規模	
JC_7A	34	問4A(7)-1_現職・入職経路―家族・親戚の紹介	
JC_7B	35	問4A(7)-2_現職・入職経路―友人・知人の紹介	
JC_7C	36	問4A(7)-3_現職・入職経路―卒業した学校の先輩の紹介	
JC_7D	37	問4A(7)-4_現職・入職経路―卒業した学校の先生の紹介（学校推薦も含む）	
JC_7E	38	問4A(7)-5_現職・入職経路―職業安定所（ハローワーク）の紹介	
JC_7F	39	問4A(7)-6_現職・入職経路―民間の職業紹介機関の紹介	
JC_7G	40	問4A(7)-7_現職・入職経路―求人広告や雑誌などを見て直接応募した	
JC_7H	41	問4A(7)-8_現職・入職経路―資料請求はがきやエントリーシートを送付した	
JC_7I	42	問4A(7)-9_現職・入職経路―家業を継いだ（家業に入った）	
JC_7J	43	問4A(7)-10_現職・入職経路―自分ではじめた	
JC_7K	44	問4A(7)-11_現職・入職経路―現在の従業先から誘われた	
JC_7L	45	問4A(7)-12_現職・入職経路―前の従業先の紹介	
JC_7M	46	問4A(7)-13_現職・入職経路―その他	
JC81A	47	問4A(8-1)_現職・勤め始めた時期―元号	
JC81Y	48	問4A(8-1)_現職・勤め始めた時期―年	
JC81M	49	問4A(8-1)_現職・勤め始めた時期―月	
JC82A	50	問4A(8-2)_現職・勤めをやめた時期―元号	
JC82Y	51	問4A(8-2)_現職・勤めをやめた時期―年	
JC82M	52	問4A(8-2)_現職・勤めをやめた時期―月	
JL_1	53	問4A(1)_最後職・働き方	
JL_2	54	問4A(2)_最後職・職業―大分類(プリコード)	
JL_2L	55	問4A(2)_最後職・職業―大分類（アフターコード）	
JL_2C	56	問4A(2)_最後職・職業―小分類(新規コードあり)	
JL_2R	57	問4A(2)_最後職・職業―小分類(SSM職業分類(95年版)準拠)	
JL_3	58	問4A(3)_最後職・役職	
JL_41	59	問4A(4-1)_最後職・従事時間（1日あたり）	
JL_4W	60	問4A(4-2)_最後職・従事日数（週あたり）	
JL_4M	61	問4A(4-2)_最後職・従事日数（月あたり）	
JL_5C	62	問4A(5)_最後職・産業（SSM産業コード）	
JL_6	63	問4A(6)_最後職・企業規模	
JL_7A	64	問4A(7)-1_最後職・入職経路―家族・親戚の紹介	
JL_7B	65	問4A(7)-2_最後職・入職経路―友人・知人の紹介	
JL_7C	66	問4A(7)-3_最後職・入職経路―卒業した学校の先輩の紹介	
JL_7D	67	問4A(7)-4_最後職・入職経路―卒業した学校の先生の紹介（学校推薦も含む）	
JL_7E	68	問4A(7)-5_最後職・入職経路―職業安定所（ハローワーク）の紹介	
JL_7F	69	問4A(7)-6_最後職・入職経路―民間の職業紹介機関の紹介	
JL_7G	70	問4A(7)-7_最後職・入職経路―求人広告や雑誌などを見て直接応募した	
JL_7H	71	問4A(7)-8_最後職・入職経路―資料請求はがきやエントリーシートを送付した	
JL_7I	72	問4A(7)-9_最後職・入職経路―家業を継いだ（家業に入った）	
JL_7J	73	問4A(7)-10_最後職・入職経路―自分ではじめた	
JL_7K	74	問4A(7)-11_最後職・入職経路―現在の従業先から誘われた	
JL_7L	75	問4A(7)-12_最後職・入職経路―前の従業先の紹介	
JL_7M	76	問4A(7)-13_最後職・入職経路―その他	
