
変数情報			
変数	位置	ラベル	欠損値
PanelID	1	<なし>	
sex	2	問1(1)_性別	
ybirth	3	問1(2)_生年	
mbirth	4	問1(2)_生月	
DQSURVEY	5	W5回答	
DQBLOCK	6	w5 対象者居住地・地域	
DQSIZE	7	w5 対象者居住地・都市規模	
DQ02	8	w5問2_就業状況	
DQ02_1	9	w5問2付問1_通学か家事か	
DQ02_2	10	w5問2付問2_収入になる仕事をしたいか	
DQ03_1	11	w5問3(1)_現職・働き方	
DQ03_2	12	w5問3(2)_現職・職業―大分類(プリコード)	
dq03_2c	13	w5問3(2)_現職・職業_小分類（07版）	
dq03_2l	14	w5問3(2)_現職・職業_大分類（アフターコード）	
DQ03_3	15	w5問3(3)_現職・役職	
DQ03_41	16	w5問3(4)A_現職・従事時間（1日あたり）	
DQ03_4M	17	w5問3(4)B_現職・従事日数（月あたり）	
DQ03_5A	18	w5問3(5)-1_現職・収入の形態―時給	
DQ03_5B	19	w5問3(5)-2_現職・収入の形態―日給	
DQ03_5C	20	w5問3(5)-3_現職・収入の形態―週給	
DQ03_5D	21	w5問3(5)-4_現職・収入の形態―月給	
DQ03_5E	22	w5問3(5)-5_現職・収入の形態―年俸	
DQ03_5F	23	w5問3(5)-6_現職・収入の形態―その他	
DQ03_5AS	24	w5問3(5)-1_現職・収入の金額―時給	
DQ03_5BS	25	w5問3(5)-2_現職・収入の金額―日給	
DQ03_5CS	26	w5問3(5)-3_現職・収入の金額―週給	
DQ03_5DS	27	w5問3(5)-4_現職・収入の金額―月給	
DQ03_5ES	28	w5問3(5)-5_現職・収入の金額―年俸	
dq03_6c	29	w5問3(6)_現職・産業（SSM産業コード）	
DQ03_7	30	w5問3(7)_現職・企業規模	
DQ03_8	31	w5問3(8)_通勤時間	
DQ03_9	32	w5問3(9)_週あたりの所定労働時間	
DQ03_10	33	w5問3(10)_労働時間希望	
DQ03_11	34	w5問3(11)_労働組合が組織されているか	
DQ03_12	35	w5問3(12)_労働組合に加入しているか	
DQ03_13	36	w5問3(13)_現在の会社で当面仕事を続けるか	
DQ03_14	37	w5問3(14)_雇用契約期間	
DQ03_14S	38	w5問3(14)付問_雇用契約の更新	
DQ03_15A	39	w5問3(15)A_厚生年金・共済年金	
DQ03_15B	40	w5問3(15)B_雇用保険	
DQ03_16A	41	w5問3(16)A_退職金	
DQ03_16B	42	w5問3(16)B_有給休暇	
DQ03_16C	43	w5問3(16)C_育児休暇	
DQ03_16D	44	w5問3(16)D_ボーナス	
DQ03_16SA	45	w5問3(16)A付問_退職金受け取り可否	
DQ03_16SB	46	w5問3(16)B付問_有給休暇利用可否	
DQ03_16SC	47	w5問3(16)C付問_育児休暇利用可否	
DQ03_16SD	48	w5問3(16)D付問_ボーナス受け取り可否	
DQ04_1A	49	w5問4(1)A_自分の仕事のペースを自分で決められる	
DQ04_1B	50	w5問4(1)B_職場の仕事のやり方を自分で決められる	
DQ04_1C	51	w5問4(1)C_部下の仕事のやり方を自分が決めている	
DQ04_1D	52	w5問4(1)D_教育訓練を受ける機会がある	
DQ04_1E	53	w5問4(1)E_職業能力を高める機会がある	
